frame,sparc
900,-2.6502231226176027
901,-2.586741313088267
902,-2.5082140899535417
903,-2.409361789528913
904,-2.2756409653131295
905,-2.0822985615594396
906,-2.060435742434615
907,-2.6752023984666153
908,-2.9185606720045683
909,-2.7233173167517455
910,-2.5472699084930848
911,-2.6582674677081957
912,-2.753276241829113
913,-2.9005025319991784
914,-3.052228357668436
915,-3.1750819169235074
916,-3.2722268487622843
917,-3.4103683536455756
918,-3.4045852192429797
919,-2.679661181103439
920,-2.695191908390442
921,-2.7038913178450894
922,-2.7265098602119022
923,-2.8406379701154876
924,-2.820402669100878
925,-2.5187018792693854
926,-2.3011076078923405
927,-2.226058610475409
928,-2.2909429230972185
929,-2.4465231282170614
930,-2.564028668936487
931,-2.650258199652333
932,-2.7217006790791354
933,-2.73259540063008
934,-2.724025207072382
935,-2.7090964256819796
936,-2.6865329417286903
937,-2.656641444846494
938,-2.621476025647383
939,-2.5687109123462295
940,-2.471766363524932
941,-2.3760220662369305
942,-2.276589242924799
943,-2.176065905712664
944,-2.0858273460910732
945,-2.0296762001764104
946,-2.0583278344367653
947,-2.218963381966786
948,-2.457279429378496
949,-2.6636524132419495
950,-2.7536501111118756
951,-2.768684739028147
952,-2.7637579947330444
953,-2.7629938811905217
954,-2.756156769397691
955,-2.7248065735750293
956,-2.6577022468181184
957,-2.5491977309950062
958,-2.4574872644699384
959,-2.4561294803123603
960,-2.45305362551012
961,-2.4360094584548095
962,-2.432581293158641
963,-2.467368339790218
964,-2.5234991756542615
965,-2.5806087980769017
966,-2.631899798447268
967,-2.6755243319125768
968,-2.711319646529125
969,-2.7398736961789543
970,-2.7621721558451147
971,-2.7793972640467346
972,-2.7927703476552335
973,-2.8034406924709065
974,-2.8124468274732237
975,-2.8206938652704054
976,-2.828757063678212
977,-2.8363331164495422
978,-2.8418163908756746
979,-2.843154224046816
980,-2.8395756715359024
981,-2.832124934423942
982,-2.8224435925761457
983,-2.811278996227533
984,-2.798032969040308
985,-2.7810945627871173
986,-2.758208272028343
987,-2.7267183995539086
988,-2.6839159333089073
989,-2.627749817812641
990,-2.558071593048786
991,-2.478318036601062
992,-2.3969463418587313
993,-2.327188819631469
994,-2.2837670935079966
995,-2.2772344746507835
996,-2.309329702208715
997,-2.372543154681116
998,-2.453846575775023
999,-2.5397584759536587
1000,-2.6198649759059083
1001,-2.687936696955857
1002,-2.741414726322631
1003,-2.780291069833412
1004,-2.805947035964284
1005,-2.820035269690423
1006,-2.8234229351231455
1007,-2.8156686346803332
1008,-2.7953163185283345
1009,-2.760523579040748
1010,-2.709740903237413
1011,-2.642609281245518
1012,-2.5612051358220493
1013,-2.471297597285157
1014,-2.382910338299409
1015,-2.309494444943245
1016,-2.2650291252334416
1017,-2.259197328252417
1018,-2.2930430493023435
1019,-2.3583364788861934
1020,-2.441350856867395
1021,-2.528310505525574
1022,-2.609073201518925
1023,-2.677969306981751
1024,-2.732826560459492
1025,-2.7735190678085835
1026,-2.800787999898848
1027,-2.815533561173218
1028,-2.8185233262845184
1029,-2.810401028322602
1030,-2.7918807359488222
1031,-2.764006974334362
1032,-2.72833879174848
1033,-2.6868901404743966
1034,-2.6416719936023876
1035,-2.593890769929407
1036,-2.543473727406497
1037,-2.4896454732314894
1038,-2.4319497202484834
1039,-2.3710899642394327
1040,-2.30985364674677
1041,-2.2542376199268768
1042,-2.2140967381194163
1043,-2.2017742730082683
1044,-2.2274680009804113
1045,-2.2927944775866105
1046,-2.3876196500787463
1047,-2.494254751160362
1048,-2.5956704254084926
1049,-2.6808570260983746
1050,-2.7452329696340145
1051,-2.788502409019316
1052,-2.8124606384794686
1053,-2.8196193323248013
1054,-2.812508286840295
1055,-2.7933213937120946
1056,-2.76371709061887
1057,-2.7247244647935447
1058,-2.676771920168556
1059,-2.6198853240350175
1060,-2.5541240057279198
1061,-2.4803154869811936
1062,-2.401067061110393
1063,-2.32184154912236
1064,-2.251618849566551
1065,-2.2024594186395046
1066,-2.187353199470594
1067,-2.2161418107756568
1068,-2.2899114791471695
1069,-2.3966654364832376
1070,-2.514115301831804
1071,-2.620111105513284
1072,-2.7019168390452606
1073,-2.757356851740264
1074,-2.7902905352454686
1075,-2.8060798663917366
1076,-2.809463488608691
1077,-2.804388376241506
1078,-2.7948534200670374
1079,-2.786627540844335
1080,-2.7900438510533525
1081,-2.810235236735014
1082,-2.8228353532323305
1083,-2.804881572774378
1084,-2.765086258176048
1085,-2.7380343288956497
1086,-2.733396589696394
1087,-2.7361425474596466
1088,-2.7366129940677992
1089,-2.7293996768170197
1090,-2.709319104966277
1091,-2.669625673958023
1092,-2.6033371967175176
1093,-2.5091838016809453
1094,-2.3992999689218535
1095,-2.2992317347924196
1096,-2.23607947257236
1097,-2.2257826422193925
1098,-2.2708935009543327
1099,-2.364058814554803
1100,-2.48842578717494
1101,-2.6170232468426473
1102,-2.7168376060346926
1103,-2.7608099065084164
1104,-2.7429750044627834
1105,-2.6819710819487836
1106,-2.6075742214999074
1107,-2.5445694926612403
1108,-2.506921724754103
1109,-2.501466940157684
1110,-2.5420483528561864
1111,-2.6191045339664054
1112,-2.7148213512619033
1113,-2.766879776192219
1114,-2.71642622344669
1115,-2.5383344909911214
1116,-2.3803192021377018
1117,-2.3561024105090485
1118,-2.368226075377511
1119,-2.3969317904667746
1120,-2.4354547930270067
1121,-2.480809463290437
1122,-2.5309572692544577
1123,-2.5838323597550863
1124,-2.637021036062997
1125,-2.6876768896610033
1126,-2.732722260392774
1127,-2.7694461054083797
1128,-2.796191260677029
1129,-2.8126527558417274
1130,-2.8196379850521978
1131,-2.818507151242176
1132,-2.810617573980835
1133,-2.7969896189372596
1134,-2.7782564769625986
1135,-2.7548533987419375
1136,-2.727360326487734
1137,-2.6968959840426074
1138,-2.665430042043632
1139,-2.6358525146641867
1140,-2.611497744526369
1141,-2.5943181201462613
1142,-2.582686358405496
1143,-2.5739913738019773
1144,-2.569748727381674
1145,-2.5746292363837795
1146,-2.5902090670670446
1147,-2.6118513898036406
1148,-2.632613017978633
1149,-2.6473149366753077
1150,-2.6531529150629294
1151,-2.648410777649277
1152,-2.631113264714632
1153,-2.5994037685585334
1154,-2.553756937428372
1155,-2.498111590589382
1156,-2.4364918715238466
1157,-2.3660582019151626
1158,-2.2745760888768545
1159,-2.1474269062842186
1160,-1.9840215020544
1161,-1.866696817751691
1162,-1.856356846636848
1163,-1.8326120926419411
1164,-1.8123768501946111
1165,-1.9725903781407064
1166,-2.231010971130008
1167,-2.464269677758711
1168,-2.628388974227859
1169,-2.7082212801436416
1170,-2.73480962599809
1171,-2.747006880385653
1172,-2.786341994219463
1173,-2.738849024934018
1174,-2.722902881708897
1175,-2.705186990590573
1176,-2.6736005424949907
1177,-2.6237980760218704
1178,-2.5620700044035467
1179,-2.43826620769505
1180,-2.3629026655800236
1181,-2.426534836658168
1182,-2.491935815990176
1183,-2.5417608581160116
1184,-2.5810387197688915
1185,-2.606489451672158
1186,-2.6238174253548627
1187,-2.6417090783735753
1188,-2.6658514561720987
1189,-2.6961986750024165
1190,-2.727582803658991
1191,-2.7550402554370024
1192,-2.7773212629431656
1193,-2.795061035266798
1194,-2.8084886771531226
1195,-2.8174472059571096
1196,-2.8220372762665438
1197,-2.8226795321783245
1198,-2.819785953979897
1199,-2.813225981386702
1200,-2.8023269899503696
1201,-2.7864659285071363
1202,-2.765283493179459
1203,-2.7387207068751396
1204,-2.7070569536825113
1205,-2.670962619110691
